"id","state_code","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013"
"16095",16,1,1,4,11958,12104,12000,0.084,0.083,0.33
"16096",16,0,0,4,7937,7840,7800,0,0,0.51
"16097",16,3,6,5,32260,32109,32000,0.093,0.19,0.16
"16098",16,0,5,3,26548,26660,27000,0,0.19,0.11
"16099",16,6,12,4,16570,16604,17000,0.36,0.72,0.24
"16100",16,1,4,1,14004,14140,14000,0.071,0.28,0.07
"16101",16,4,0,0,9231,9131,9100,0.43,0,0
"16102",16,46,45,63,326738,330484,330000,0.14,0.14,0.19
"16103",16,6,5,2,24054,24199,24000,0.25,0.21,0.082
"16104",16,2,0,1,17426,17532,18000,0.11,0,0.057
"16105",16,13,13,6,19422,19518,20000,0.67,0.67,0.31
"16106",16,20,25,18,31117,31488,32000,0.64,0.79,0.57
"16107",16,2,3,9,74639,74786,75000,0.027,0.04,0.12
"16108",16,28,23,31,191048,192364,190000,0.15,0.12,0.16
"16109",16,0,0,0,3288,3273,3300,0,0,0
"16110",16,7,7,6,47564,47732,48000,0.15,0.15,0.13
"16111",16,2,2,9,15656,15778,16000,0.13,0.13,0.57
"16112",16,26,28,11,160978,162798,160000,0.16,0.17,0.067
"16113",16,3,1,2,26160,26292,26000,0.11,0.038,0.076
"17001",17,0,6,7,17568,17785,18000,0,0.34,0.39
"17002",17,0,8,5,20360,21013,22000,0,0.38,0.23
"17003",17,1,9,4,34804,35198,36000,0.029,0.26,0.11
"17004",17,13,7,10,81793,82906,84000,0.16,0.084,0.12
"17005",17,3,2,4,9842,9982,10000,0.3,0.2,0.4
"17006",17,51,90,65,181042,183221,190000,0.28,0.49,0.35
"17007",17,184,270,127,374500,377666,380000,0.49,0.71,0.33
"17008",17,31,12,31,87997,89910,92000,0.35,0.13,0.34
"17009",17,0,7,2,18150,18477,19000,0,0.38,0.11
"17010",17,1,1,4,16287,16530,17000,0.061,0.06,0.24
"17011",17,26,50,66,203616,206179,210000,0.13,0.24,0.32
"17012",17,37,80,25,56667,57222,58000,0.65,1.4,0.43
"17013",17,1,10,2,15026,15178,15000,0.067,0.66,0.13
"17014",17,1,4,2,9718,9812,9900,0.1,0.41,0.2
"17015",17,13,8,13,25829,26130,26000,0.5,0.31,0.49
"17016",17,1,2,4,17346,17515,18000,0.058,0.11,0.23
"17017",17,26,55,38,63504,64222,65000,0.41,0.86,0.58
"17018",17,44,55,44,111748,113124,110000,0.39,0.49,0.38
"17019",17,1,5,1,26149,26423,27000,0.038,0.19,0.037
"17020",17,1,15,9,43446,44192,45000,0.023,0.34,0.2
"17021",17,1,10,3,7756,7880,8000,0.13,1.3,0.38
"17022",17,0,1,2,19770,19995,20000,0,0.05,0.099
"17023",17,0,0,1,6870,6952,7000,0,0,0.14
"17024",17,2,46,26,50389,50942,52000,0.04,0.9,0.5
"17025",17,4,9,6,32339,32619,33000,0.12,0.28,0.18
"17026",17,0,2,6,17204,17465,18000,0,0.11,0.34
"17027",17,0,2,2,11080,11174,11000,0,0.18,0.18
"17028",17,29,22,29,66437,67714,69000,0.44,0.32,0.42
"17029",17,38,42,38,102094,103791,110000,0.37,0.4,0.36
"17030",17,2,14,9,48942,49810,51000,0.041,0.28,0.18
"17031",17,1,15,11,35852,36102,36000,0.028,0.42,0.3
"17032",17,0,1,0,9456,9599,9700,0,0.1,0
"17033",17,2,0,1,15420,15772,16000,0.13,0,0.062
"18001",18,32,17,11,37796,38188,39000,0.85,0.45,0.29
"18002",18,3,2,4,15742,15889,16000,0.19,0.13,0.25
"18003",18,1,2,1,11542,11653,12000,0.087,0.17,0.085
"18004",18,14,12,3,73669,75014,76000,0.19,0.16,0.04
"18005",18,6,10,4,11748,11877,12000,0.51,0.84,0.33
"18006",18,5,1,4,28239,28482,29000,0.18,0.035,0.14
"18007",18,1,5,1,18454,18697,19000,0.054,0.27,0.053
"18008",18,30,5,10,51816,52902,54000,0.58,0.095,0.19
"18009",18,29,19,16,35576,35983,36000,0.82,0.53,0.44
"18010",18,15,8,15,35564,35929,36000,0.42,0.22,0.41
"18011",18,27,18,16,24525,24900,25000,1.1,0.72,0.63
"18012",18,13,8,5,45314,46089,47000,0.29,0.17,0.11
"18013",18,0,1,1,0,7754,7800,0,0.13,0.13
"18014",18,10,6,0,23109,23277,0,0.43,0.26,0
"18015",18,20,17,4,97060,98335,1e+05,0.21,0.17,0.04
"18016",18,16,11,6,41041,41420,42000,0.39,0.27,0.14
"18017",18,208,69,25,400847,408984,420000,0.52,0.17,0.06
"18018",18,13,3,3,30975,31260,32000,0.42,0.096,0.095
"18019",18,3,4,3,14148,14400,15000,0.21,0.28,0.2
"18020",18,10,26,9,138396,144920,150000,0.072,0.18,0.06
"19001",19,0,0,0,2840,0,0,0,0,0
"19002",19,0,0,0,3468,0,0,0,0,0
"19003",19,0,0,0,1342,0,0,0,0,0
"19004",19,0,0,0,33738,0,0,0,0,0
"19005",19,0,0,0,18818,0,0,0,0,0
"19006",19,127,136,70,555570,569896,580000,0.23,0.24,0.12
"19007",19,0,0,0,15767,0,0,0,0,0
"19008",19,0,0,0,3914,0,0,0,0,0
"19009",19,119,143,0,90712,91899,0,1.3,1.6,0
"19010",19,0,0,0,18220,0,0,0,0,0
"19011",19,0,0,0,7926,0,0,0,0,0
"19012",19,0,0,0,27651,0,0,0,0,0
"19013",19,0,0,0,11076,0,0,0,0,0
"19014",19,0,0,0,36204,0,0,0,0,0
"19015",19,0,0,0,1758,0,0,0,0,0
"19016",19,0,0,0,3435,0,0,0,0,0
"19017",19,4,4,0,40680,40756,0,0.098,0.098,0
"19018",19,20,19,0,161703,167845,0,0.12,0.11,0
"19019",19,19,10,2,126092,127310,130000,0.15,0.079,0.016
"19020",19,0,0,0,5616,0,0,0,0,0
"19021",19,73,65,31,376865,385024,390000,0.19,0.17,0.079
"19022",19,0,0,0,14689,0,0,0,0,0
"19023",19,0,0,0,1263,0,0,0,0,0
"19024",19,0,0,0,6050,0,0,0,0,0
"19025",19,6,0,0,63174,66005,0,0.095,0,0
"19026",19,254,92,60,687780,689726,690000,0.37,0.13,0.087
"19027",19,0,0,0,2085,0,0,0,0,0
"19028",19,0,0,0,1653,0,0,0,0,0
"19029",19,0,0,0,7075,0,0,0,0,0
"19030",19,0,0,0,3600,0,0,0,0,0
"19031",19,76,70,0,288722,299521,0,0.26,0.23,0
"19032",19,0,0,0,5650,0,0,0,0,0
"19033",19,24,8,0,81563,82272,0,0.29,0.097,0
"19034",19,0,0,0,5578,0,0,0,0,0
"19035",19,0,0,0,846,0,0,0,0,0
"19036",19,0,0,0,7170,0,0,0,0,0
"19037",19,0,0,0,5536,0,0,0,0,0
"19038",19,57,17,0,61224,61739,0,0.93,0.28,0
"19039",19,700,551,266,1156558,1161984,1200000,0.61,0.47,0.23
"19040",19,0,0,0,1074,0,0,0,0,0
"19041",19,0,0,0,23598,0,0,0,0,0
"19042",19,0,0,0,5286,0,0,0,0,0
"19043",19,0,0,0,2679,0,0,0,0,0
"19044",19,0,0,0,35784,0,0,0,0,0
"19045",19,0,0,0,34179,0,0,0,0,0
"19046",19,122,83,38,448141,446079,450000,0.27,0.19,0.085
"19047",19,0,0,0,17110,0,0,0,0,0
"19048",19,49,50,34,275723,278016,280000,0.18,0.18,0.12
"19049",19,76,12,0,41682,41949,0,1.8,0.29,0
"19050",19,0,0,0,2025,0,0,0,0,0
"19051",19,0,0,0,4168,0,0,0,0,0
"2001",2,47,54,48,490568,499254,510000,0.096,0.11,0.095
"2002",2,139,155,150,977608,991453,1e+06,0.14,0.16,0.15
"2003",2,29,19,34,105662,107247,110000,0.27,0.18,0.31
"2004",2,418,332,492,1631186,1657312,1700000,0.26,0.2,0.29
"2005",2,40,30,50,96985,99585,1e+05,0.41,0.3,0.49
"20067",20,116,66,115,267883,268051,270000,0.43,0.25,0.43
"20079",20,8,16,13,84979,85687,86000,0.094,0.19,0.15
"20184",20,16,59,39,160548,161878,160000,0.1,0.36,0.24
"20318",20,0,0,20,0,0,48000,0,0,0.42
"20324",20,0,7,0,0,45873,0,0,0.15,0
"20338",20,0,26,0,0,9983,0,0,2.6,0
"20385",20,0,10,4,0,83428,85000,0,0.12,0.047
"20390",20,0,3,0,0,48759,0,0,0.062,0
"20551",20,0,7,2,0,21007,21000,0,0.33,0.095
"21001",21,1,2,3,62760,63646,64000,0.016,0.031,0.047
"21002",21,0,0,1,9143,9208,9300,0,0,0.11
"21003",21,1,11,6,34727,34982,35000,0.029,0.31,0.17
"21004",21,7,3,2,54126,54890,56000,0.13,0.055,0.036
"21005",21,0,0,0,2948,2968,3000,0,0,0
"21006",21,0,2,2,15159,15300,15000,0,0.13,0.13
"21007",21,0,0,0,3454,3454,3500,0,0,0
"21008",21,0,1,4,10804,10920,11000,0,0.092,0.36
"21009",21,0,0,0,2046,2052,2100,0,0,0
"21010",21,5,2,4,62741,63495,64000,0.08,0.031,0.062
"21011",21,0,0,0,1804,1808,1800,0,0,0
"21012",21,0,1,0,6452,6499,6500,0,0.15,0
"21013",21,0,0,0,19674,19946,20000,0,0,0
"21014",21,0,0,0,5060,5068,5100,0,0,0
"21015",21,3,9,6,108010,111120,110000,0.028,0.081,0.053
"21016",21,0,0,1,8054,8116,8200,0,0,0.12
"21017",21,0,0,2,26419,26815,27000,0,0,0.074
"21018",21,0,1,0,3793,3798,3800,0,0.26,0
"21019",21,18,19,14,130440,131532,130000,0.14,0.14,0.11
"21020",21,0,0,0,6570,6610,6700,0,0,0
"21021",21,0,0,1,1247,1250,1300,0,0,0.8
"21022",21,0,2,4,12018,12129,12000,0,0.16,0.33
"21023",21,0,0,0,8615,8666,8700,0,0,0
"21024",21,0,0,0,961,964,960,0,0,0
"21025",21,0,1,2,8355,8410,8500,0,0.12,0.24
"21026",21,0,2,1,14004,14074,14000,0,0.14,0.071
"21027",21,0,0,0,4157,4144,4100,0,0,0
"21028",21,0,0,0,2550,2582,2600,0,0,0
"21029",21,1,0,0,3854,3868,3900,0.26,0,0
"21030",21,0,0,0,779,784,790,0,0,0
"21031",21,0,0,0,2978,2972,3000,0,0,0
"21032",21,0,1,0,1291,1288,1300,0,0.78,0
"21033",21,0,0,0,4939,4998,5000,0,0,0
"21034",21,0,3,3,36252,36910,38000,0,0.081,0.08
"21035",21,0,1,1,19920,19961,20000,0,0.05,0.05
"21036",21,0,0,1,14618,14764,15000,0,0,0.067
"21037",21,0,0,0,2375,2378,2400,0,0,0
"21038",21,0,0,2,9210,9409,9600,0,0,0.21
"21039",21,0,0,0,9502,9606,9700,0,0,0
"21040",21,0,1,0,10094,10344,11000,0,0.097,0
"21041",21,4,6,5,86717,90188,93000,0.046,0.067,0.054
"21042",21,0,1,0,3062,3056,3000,0,0.33,0
"21043",21,0,3,8,48416,48668,49000,0,0.062,0.16
"21044",21,0,2,0,15807,15946,16000,0,0.13,0
"21045",21,5,4,1,45285,45777,46000,0.11,0.087,0.022
"21046",21,0,0,2,7266,7364,7500,0,0,0.27
"21047",21,0,1,1,19440,19534,20000,0,0.051,0.051
"21048",21,0,1,1,19446,19694,20000,0,0.051,0.05
"21049",21,1,1,2,16354,16562,17000,0.061,0.06,0.12
"21050",21,0,1,0,24508,24592,25000,0,0.041,0
"21051",21,0,5,7,34712,34902,35000,0,0.14,0.2
"21052",21,0,0,0,1254,1261,1300,0,0,0
"21053",21,4,13,5,60285,61167,62000,0.066,0.21,0.081
"21054",21,2,1,2,31580,32113,33000,0.063,0.031,0.061
"21055",21,1,0,2,4796,4813,4800,0.21,0,0.41
"21056",21,0,0,1,1257,1259,1300,0,0,0.79
"21057",21,0,1,0,7736,7828,7900,0,0.13,0
"21058",21,0,0,0,19638,19713,20000,0,0,0
"21059",21,0,1,2,2545,2568,2600,0,0.39,0.77
"21060",21,0,0,1,7364,7543,7700,0,0,0.13
"21061",21,0,1,2,12927,13049,13000,0,0.077,0.15
"21062",21,1,0,2,4744,4790,4800,0.21,0,0.41
"21063",21,2,5,4,14080,14160,14000,0.14,0.35,0.28
"21064",21,2,2,3,16592,16661,17000,0.12,0.12,0.18
"21065",21,0,1,0,19636,19832,20000,0,0.05,0
"21066",21,0,3,0,6368,6373,6400,0,0.47,0
"21067",21,0,3,1,17090,17280,17000,0,0.17,0.057
"21068",21,0,0,0,7842,7870,7900,0,0,0
"21069",21,0,5,4,25794,25863,26000,0,0.19,0.15
"21070",21,0,0,0,6776,6804,6800,0,0,0
"21071",21,10,17,9,100910,102016,1e+05,0.099,0.17,0.087
"21072",21,0,1,0,15873,15876,16000,0,0.063,0
"21073",21,1,1,1,8898,8960,9000,0.11,0.11,0.11
"21074",21,11,12,9,65269,65888,67000,0.17,0.18,0.14
"21075",21,0,1,1,12210,12314,12000,0,0.081,0.08
"21076",21,1,1,1,27228,27361,28000,0.037,0.037,0.036
"21077",21,0,0,0,6065,6222,6300,0,0,0
"21078",21,1,0,1,14560,14756,15000,0.069,0,0.067
"21079",21,2,1,0,5472,5529,5600,0.37,0.18,0
"21080",21,0,0,0,2832,2825,2800,0,0,0
"21081",21,1,0,1,3767,3778,3800,0.27,0,0.26
"21082",21,0,0,0,8350,8438,8500,0,0,0
"21083",21,1,0,1,25674,25699,26000,0.039,0,0.039
"21084",21,0,0,0,6901,6913,6900,0,0,0
"21085",21,16,23,15,74791,75406,76000,0.21,0.31,0.2
"21086",21,3,0,2,12854,12942,13000,0.23,0,0.15
"21087",21,0,1,1,13032,13138,13000,0,0.076,0.076
"21088",21,0,0,0,4653,4656,4700,0,0,0
"21089",21,0,0,1,13246,13298,13000,0,0,0.075
"21090",21,1,1,2,19744,20244,21000,0.051,0.049,0.097
"21091",21,0,0,0,10552,10662,11000,0,0,0
"21092",21,0,0,0,5341,5370,5400,0,0,0
"21093",21,0,2,0,7864,7868,7900,0,0.25,0
"21094",21,0,6,1,32708,33117,34000,0,0.18,0.03
"21095",21,0,0,0,506,514,520,0,0,0
"21096",21,0,0,0,2717,2746,2800,0,0,0
"21097",21,0,0,0,2265,2280,2300,0,0,0
"21098",21,0,2,0,6426,6491,6500,0,0.31,0
"21099",21,0,2,3,19442,19578,20000,0,0.1,0.15
"21100",21,1,2,1,9859,9882,9900,0.1,0.2,0.1
"21101",21,0,0,0,3683,3712,3700,0,0,0
"21102",21,0,0,0,12518,12718,13000,0,0,0
"21103",21,2,1,2,6208,6276,6300,0.32,0.16,0.32
"21104",21,1,0,1,28359,28754,29000,0.035,0,0.034
"21105",21,0,0,0,4956,4988,5000,0,0,0
"21106",21,0,0,4,27216,27844,28000,0,0,0.14
"21107",21,0,0,0,11643,11616,12000,0,0,0
"21108",21,1,0,0,17345,17636,18000,0.058,0,0
"21109",21,2,3,3,21438,21726,22000,0.093,0.14,0.14
"21110",21,5,4,2,44304,44786,45000,0.11,0.089,0.044
"21111",21,2,4,2,18765,18852,19000,0.11,0.21,0.11
"21112",21,0,1,2,9523,9548,9600,0,0.1,0.21
"21113",21,0,5,0,4748,4800,4800,0,1,0
"21114",21,141,125,67,1583012,1597825,1600000,0.089,0.078,0.042
"21115",21,2,7,4,48955,49545,50000,0.041,0.14,0.08
"21116",21,0,2,0,21801,21955,22000,0,0.091,0
"21117",21,0,0,1,14538,14706,15000,0,0,0.067
"21118",21,0,0,0,26218,26415,27000,0,0,0
"21119",21,23,8,13,107294,110340,110000,0.21,0.073,0.12
"21120",21,1,0,0,5334,5424,5500,0.19,0,0
"21121",21,0,0,0,1124,1119,1100,0,0,0
"21122",21,0,2,1,9786,9919,10000,0,0.2,0.1
"21123",21,0,1,1,4141,4135,4100,0,0.24,0.24
"21124",21,0,0,1,14978,15177,15000,0,0,0.065
"21125",21,0,0,1,8594,8785,8900,0,0,0.11
"21126",21,0,0,0,6052,6146,6200,0,0,0
"21127",21,1,2,1,3819,3816,3800,0.26,0.52,0.26
"21128",21,0,0,1,8358,8451,8500,0,0,0.12
"21129",21,0,0,1,13117,13256,13000,0,0,0.075
"21130",21,0,0,0,3498,3518,3500,0,0,0
"21131",21,0,0,0,901,912,920,0,0,0
"21132",21,9,5,10,146118,147968,150000,0.062,0.034,0.067
"21133",21,0,0,0,641,638,630,0,0,0
"21134",21,0,5,1,20190,20528,21000,0,0.24,0.048
"21135",21,0,0,0,595,594,590,0,0,0
"21136",21,0,1,0,11994,12128,12000,0,0.082,0
"21137",21,0,1,0,9524,9644,9800,0,0.1,0
"21138",21,0,0,1,11151,11276,11000,0,0,0.088
"21139",21,1,0,1,3672,3714,3800,0.27,0,0.27
"21140",21,24,17,5,124247,125612,130000,0.19,0.14,0.039
"21141",21,0,1,0,3493,3520,3500,0,0.28,0
"21142",21,0,3,2,28559,28895,29000,0,0.1,0.068
"21143",21,2,2,2,29984,30620,31000,0.067,0.065,0.064
"21144",21,0,0,0,14085,14288,14000,0,0,0
"21145",21,0,0,1,13815,13880,14000,0,0,0.072
"21146",21,0,0,0,896,900,900,0,0,0
"21147",21,0,1,0,6066,6094,6100,0,0.16,0
"21148",21,0,1,1,7971,7937,7900,0,0.13,0.13
"21149",21,1,0,3,23154,23642,24000,0.043,0,0.12
"21150",21,0,1,0,7288,7367,7400,0,0.14,0
"21151",21,0,0,1,8256,8344,8400,0,0,0.12
"21152",21,0,0,1,12011,12094,12000,0,0,0.082
"21153",21,3,2,5,21066,21359,22000,0.14,0.094,0.23
"21154",21,8,35,10,74416,75518,77000,0.11,0.46,0.13
"21155",21,1,2,0,5644,5726,5800,0.18,0.35,0
"21156",21,80,106,23,283290,286308,290000,0.28,0.37,0.079
"21157",21,0,5,0,11712,11833,12000,0,0.42,0
"21158",21,0,3,1,6876,6896,6900,0,0.44,0.14
"21159",21,0,0,0,4037,4030,4000,0,0,0
"21160",21,0,0,0,3210,3234,3300,0,0,0
"21161",21,1,0,0,19739,20030,20000,0.051,0,0
"21162",21,0,0,0,4337,4364,4400,0,0,0
"21163",21,0,1,0,16820,17014,17000,0,0.059,0
"21164",21,15,9,9,77663,78760,80000,0.19,0.11,0.11
"21165",21,0,0,1,1144,1141,1100,0,0,0.88
"21166",21,0,3,0,8334,8428,8500,0,0.36,0
"21167",21,0,2,2,10509,10596,11000,0,0.19,0.19
"21168",21,13,1,2,6753,6804,6900,1.9,0.15,0.29
"21169",21,0,1,2,21060,21226,21000,0,0.047,0.094
"21170",21,0,1,0,16747,16829,17000,0,0.059,0
"21171",21,0,0,1,3526,3586,3600,0,0,0.28
"21172",21,0,4,0,26538,26763,27000,0,0.15,0
"21173",21,0,0,0,5840,5885,5900,0,0,0
"21174",21,3,5,7,94782,95607,96000,0.032,0.052,0.073
"21175",21,0,1,4,10004,10050,10000,0,0.1,0.4
"21176",21,1,0,3,8576,8616,8700,0.12,0,0.35
"21177",21,0,8,3,49768,50250,51000,0,0.16,0.059
"21178",21,0,4,1,17372,17407,17000,0,0.23,0.057
"21179",21,0,1,1,29400,29676,30000,0,0.034,0.033
"21180",21,2,1,1,37707,38118,39000,0.053,0.026,0.026
"21181",21,1,1,1,6490,6562,6600,0.15,0.15,0.15
"21182",21,0,0,0,4960,5001,5000,0,0,0
"21183",21,3,4,2,20252,20368,21000,0.15,0.2,0.098
"21184",21,0,2,0,6591,6654,6700,0,0.3,0
"21185",21,0,0,0,8654,8734,8800,0,0,0
"21186",21,0,0,2,53268,53892,54000,0,0,0.037
"21187",21,0,1,0,5515,5532,5500,0,0.18,0
"21188",21,0,1,0,17814,18110,18000,0,0.055,0
"21189",21,0,2,1,20372,20606,21000,0,0.097,0.048
"21190",21,0,1,0,1184,1192,1200,0,0.84,0
"21191",21,1,4,2,9531,9636,9700,0.1,0.42,0.21
"21192",21,0,0,0,6118,6162,6200,0,0,0
"21193",21,0,1,0,6429,6496,6600,0,0.15,0
"21194",21,2,6,6,28740,29011,29000,0.07,0.21,0.2
"21195",21,0,3,2,25395,25848,26000,0,0.12,0.076
"21196",21,0,0,0,1737,1770,1800,0,0,0
"21197",21,7,3,9,77764,78439,79000,0.09,0.038,0.11
"21198",21,0,0,0,1262,1267,1300,0,0,0
"21199",21,0,2,1,39145,39571,40000,0,0.051,0.025
"21200",21,0,0,0,3964,3971,4000,0,0,0
"21201",21,0,0,1,3278,3308,3300,0,0,0.3
"21202",21,0,1,2,12522,12598,13000,0,0.079,0.16
"21203",21,0,0,0,6268,6341,6400,0,0,0
"21204",21,0,0,0,7752,7829,7900,0,0,0
"21205",21,0,2,1,23798,24082,24000,0,0.083,0.041
"21206",21,0,0,0,4362,4406,4400,0,0,0
"21207",21,5,3,3,54724,55190,56000,0.091,0.054,0.054
"21208",21,27,9,8,78938,79979,81000,0.34,0.11,0.099
"21209",21,0,1,1,8462,8549,8600,0,0.12,0.12
"21210",21,0,0,0,5772,5832,5900,0,0,0
