"NOM_MUN","id"
"Amacuzac","17001"
"Tetecala","17021"
"Puente de Ixtla","17017"
"Temoac","17033"
"Jonacatepec","17013"
"Jantetelco","17010"
"Tlaltizap,"17024"
"Tlaquiltenango","17025"
"Tepalcingo","17019"
"Axochiapan","17003"
"Mazatl,"25012"
"Sinaloa","25017"
"Culiac,"25006"
"Navolato","25018"
"San Ignacio","25016"
"Salvador Alvarado","25015"
"Rosario","25014"
"Mocorito","25013"
"Guasave","25011"
"El Fuerte","25010"
"Escuinapa","25009"
"Elota","25008"
"Choix","25007"
"Cosal,"25005"
"Concordia","25004"
"Badiraguato","25003"
"Ahome","25001"
"Angostura","25002"
"Etchojoa","26026"
"Navojoa","26042"
"B,"26012"
"Huatabampo","26033"
"Hu,"26032"
"Puerto Pe,"26048"
"Caborca","26017"
"Ray,"26050"
"Quiriego","26049"
"Pitiquito","26047"
"Oquitoa","26046"
"Opodepe","26045"
"Onavas","26044"
"Nogales","26043"
"Nacozari de Garc,"26041"
"N,"26040"
"Naco","26039"
"Moctezuma","26038"
"Mazat,"26037"
"Magdalena","26036"
"Imuris","26035"
"Hu,"26034"
"Huachinera","26031"
"Villa Pesqueira","26068"
"Granados","26028"
"Fronteras","26027"
"Empalme","26025"
"Divisaderos","26024"
"Cumpas","26023"
"Cucurpe","26022"
"La Colorada","26021"
"Carb,"26020"
"Cananea","26019"
"Cajeme","26018"
"Benjam,"26016"
"Bavispe","26015"
"Bavi,"26014"
"Ban,"26013"
"Bacoachi","26011"
"Bacerac","26010"
"Bacanora","26009"
"Bacad,"26008"
"Atil","26007"
"Arizpe","26006"
"Arivechi","26005"
"Altar","26004"
"Alamos","26003"
"Agua Prieta","26002"
"Aconchi","26001"
"San Ignacio R,"26072"
"Benito Ju,"26071"
"General Plutarco El,"26070"
"Y,"26069"
"Villa Hidalgo","26067"
"Ures","26066"
"Tubutama","26065"
"Trincheras","26064"
"Tepache","26063"
"Suaqui Grande","26062"
"Soyopa","26061"
"S,"26060"
"Santa Cruz","26059"
"Santa Ana","26058"
"San Pedro de la Cueva","26057"
"San Miguel de Horcasitas","26056"
"San Javier","26054"
"San Felipe de Jes,"26053"
"Sahuaripa","26052"
"Rosario","26051"
"San Luis R,"26055"
"Tijuana","2004"
"Tecate","2003"
"Playas de Rosarito","2005"
"Mexicali","2002"
"Ensenada","2001"
"Guaymas","26029"
"Hermosillo","26030"
"Loreto","3009"
"La Paz","3003"
"Muleg,"3002"
"Comond,"3001"
"Los Cabos","3008"
"Tecom,"6009"
"Manzanillo","6007"
"Armer,"6001"
"Coquimatl,"6004"
"Villa de ,"6010"
"Comala","6003"
"Minatitl,"6008"
"Colima","6002"
"Ixtlahuac,"6006"
"Cuauht,"6005"
"Acaponeta","18001"
"Ahuacatl,"18002"
"Amatl,"18003"
"Huajicori","18005"
"Ixtl,"18006"
"Jala","18007"
"Xalisco","18008"
"Del Nayar","18009"
"Ru,"18011"
"San Pedro Lagunillas","18013"
"Santa Mar,"18014"
"Tecuala","18016"
"Tepic","18017"
"Tuxpan","18018"
"La Yesca","18019"
"Bah,"18020"
"Compostela","18004"
"Santiago Ixcuintla","18015"
"San Blas","18012"
"Rosamorada","18010"
"Puerto Vallarta","14067"
"La Huerta","14043"
"Santa Mar,"14081"
"Huej,"14041"
"Huejuquilla el Alto","14042"
"Villa Guerrero","14115"
"Totatiche","14104"
"Colotl,"14025"
"Mezquitic","14061"
"Villa Hidalgo","14116"
"Ojuelos de Jalisco","14064"
"Chimaltit,"14031"
"Bola,"14019"
"San Mart,"14076"
"Mexticac,"14060"
"San Diego de Alejandr,"14072"
"San Juli,"14074"
"San Crist,"14071"
"Jalostotitl,"14046"
"Yahualica de Gonz,"14118"
"Ca,"14117"
"Hostotipaquillo","14040"
"San Marcos","14075"
"Cuqu,"14029"
"San Juanito de Escobedo","14007"
"Magdalena","14055"
"Tequila","14094"
"Etzatl,"14036"
"Ahualulco de Mercado","14003"
"Teuchitl,"14095"
"San Sebasti,"14080"
"Guachinango","14038"
"Jes,"14048"
"Guadalajara","14039"
"San Miguel el Alto","14078"
"Tototl,"14105"
"Zapotl,"14123"
"Atotonilco el Alto","14013"
"Ameca","14006"
"Ixtlahuac,"14044"
"Acatl,"14002"
"Mixtl,"14062"
"Degollado","14033"
"San Mart,"14077"
"Ayotl,"14016"
"Ixtlahuac,"14045"
"Amacueca","14004"
"Juchitl,"14052"
"Arandas","14008"
"San Ignacio Cerro Gordo","14125"
"Tala","14083"
"Zapopan","14120"
"El Salto","14070"
"El Arenal","14009"
"Amatit,"14005"
"Teocaltiche","14091"
"Valle de Guadalupe","14111"
"Tepatitl,"14093"
"Encarnaci,"14035"
"San Juan de los Lagos","14073"
"Lagos de Moreno","14053"
"Uni,"14109"
"Techaluta de Montenegro","14089"
"Sayula","14082"
"Tonaya","14102"
"Tapalpa","14086"
"Valle de Ju,"14112"
"Villa Purificaci,"14068"
"El Lim,"14054"
"Ejutla","14034"
"Atoyac","14014"
"Concepci,"14026"
"G,"14079"
"Uni,"14110"
"El Grullo","14037"
"Tlaquepaque","14098"
"Tonal,"14101"
"Juanacatl,"14051"
"Acatic","14001"
"Zapotlanejo","14124"
"Tlajomulco de Z,"14097"
"La Manzanilla de la Paz","14057"
"Mazamitla","14059"
"Tizap,"14096"
"Teocuitatl,"14092"
"Chiquilistl,"14032"
"Tuxcueca","14107"
"Tecolotl,"14088"
"Ayutla","14017"
"Tomatl,"14100"
"Tenamaxtl,"14090"
"Cabo Corrientes","14020"
"La Barca","14018"
"Atemajac de Brizuela","14010"
"Cocula","14024"
"Villa Corona","14114"
"Atenguillo","14012"
"Zacoalco de Torres","14119"
"Atengo","14011"
"Cuautla","14028"
"Mascota","14058"
"Talpa de Allende","14084"
"Chapala","14030"
"Jocotepec","14050"
"Poncitl,"14066"
"Ocotl,"14063"
"Jamay","14047"
"San Gabriel","14113"
"Zapotiltic","14121"
"Autl,"14015"
"Tuxcacuesco","14106"
"Zapotl,"14023"
"Quitupan","14069"
"Pihuamo","14065"
"Cihuatl,"14022"
"Zapotitl,"14122"
"Tonila","14103"
"Tuxpan","14108"
"Tecalitl,"14087"
"Santa Mar,"14056"
"Casimiro Castillo","14021"
"Cuautitl,"14027"
"Tamazula de Gordiano","14085"
"Jilotl,"14049"
"Tolim,"14099"
"Zamora","16108"
"Tanganc,"16085"
"L,"16052"
"Aquila","16008"
"Arteaga","16010"
"Tumbiscat,"16096"
"San Lucas","16077"
"Coahuayana","16014"
"Huetamo","16038"
"Churumuco","16029"
"Chinicuila","16026"
"Coalcom,"16015"
"Aguililla","16002"
"La Huacana","16035"
"M,"16055"
"Turicato","16097"
"Car,"16013"
"Tepalcatepec","16089"
"Apatzing,"16006"
"Par,"16064"
"Nocup,"16057"
"Nuevo Urecho","16059"
"Gabriel Zamora","16033"
"Ario","16009"
"Susupuato","16081"
"Tiquicheo de Nicol,"16092"
"Ju,"16046"
"Taretan","16087"
"Buenavista","16012"
"Tac,"16082"
"Tuzantla","16099"
"Salvador Escalante","16079"
"Ziracuaretiro","16111"
"Nuevo Parangaricutiro","16058"
"Tanc,"16083"
"Jungapeo","16047"
"Madero","16049"
"Acuitzio","16001"
"Zit,"16112"
"Huiramba","16039"
"P,"16066"
"Perib,"16068"
"Tingambato","16090"
"Uruapan","16102"
"Lagunillas","16048"
"Ocampo","16061"
"Tuxpan","16098"
"Tzintzuntzan","16100"
"Tzitzio","16101"
"Angangueo","16005"
"Aporo","16007"
"Erongar,"16032"
"Paracho","16065"
"Nahuatzen","16056"
"Quiroga","16073"
"Irimbo","16041"
"Charo","16022"
"Cher,"16024"
"Los Reyes","16075"
"Charapan","16021"
"Senguio","16080"
"Quer,"16072"
"Tocumbo","16095"
"Morelia","16053"
"Tlalpujahua","16093"
"Hidalgo","16034"
"Indaparapeo","16040"
"Tar,"16088"
"Ting,"16091"
"Cotija","16019"
"Chilchota","16025"
"Coeneo","16016"
"Zinap,"16110"
"Huaniqueo","16037"
","16003"
"Chuc,"16027"
"Cop,"16018"
"Jim,"16044"
"Pur,"16070"
"Zacapu","16107"
"Tangamandapio","16084"
"Jacona","16043"
"Maravat,"16050"
"Huandacareo","16036"
"Morelos","16054"
"Cuitzeo","16020"
"Santa Ana Maya","16078"
"Contepec","16017"
"Jiquilpan","16045"
"Tlazazalca","16094"
"Villamar","16104"
"Marcos Castellanos","16051"
"Sahuayo","16076"
"Panind,"16063"
"Chavinda","16023"
"Cojumatl,"16074"
"Penjamillo","16067"
"Angamacutiro","16004"
"Ixtl,"16042"
"Churintzio","16028"
"Venustiano Carranza","16103"
"Pajacuar,"16062"
"Epitacio Huerta","16031"
"Zin,"16109"
"Ecuandureo","16030"
"Puru,"16071"
"Brise,"16011"
"Numar,"16060"
"Vista Hermosa","16105"
"Jos,"16113"
"Tanhuato","16086"
"Yur,"16106"
"La Piedad","16069"
"G,"10007"
"Tamazula","10034"
"Topia","10037"
"Vicente Guerrero","10038"
"Nuevo Ideal","10039"
"Tepehuanes","10035"
"S,"10033"
"San Juan de Guadalupe","10027"
"Santa Clara","10031"
"Canatl,"10001"
"Canelas","10002"
"Coneto de Comonfort","10003"
"Cuencam,"10004"
"Durango","10005"
"Guadalupe Victoria","10008"
"Hidalgo","10010"
"Ind,"10011"
"Mapim,"10013"
"Mezquital","10014"
"Nazas","10015"
"Nombre de Dios","10016"
"El Oro","10018"
"Ot,"10019"
"P,"10020"
"Pe,"10021"
"Poanas","10022"
"Pueblo Nuevo","10023"
"Rodeo","10024"
"San Bernardo","10025"
"San Dimas","10026"
"San Juan del R,"10028"
"San Luis del Cordero","10029"
"San Pedro del Gallo","10030"
"Santiago Papasquiaro","10032"
"General Sim,"10006"
"Lerdo","10012"
"Ocampo","10017"
"Guanacev,"10009"
"Bach,"8006"
"Chihuahua","8019"
"Aquiles Serd,"8004"
"Ju,"8037"
"Casas Grandes","8013"
"Nuevo Casas Grandes","8050"
"Praxedis G. Guerrero","8053"
"Ascensi,"8005"
"G,"8025"
"Ch,"8020"
"Galeana","8023"
"Guadalupe","8028"
"Guazapares","8030"
"Janos","8035"
"Madera","8040"
"Maguarichi","8041"
"Matach,"8043"
"Ocampo","8051"
"Tem,"8063"
"Urique","8065"
"Uruachi","8066"
"Guadalupe y Calvo","8029"
"Morelos","8046"
"Moris","8047"
"Aldama","8002"
"Rosales","8055"
"Delicias","8021"
"Meoqui","8045"
"Ahumada","8001"
"Cuauht,"8017"
"Riva Palacio","8054"
"Hidalgo del Parral","8032"
"Allende","8003"
"Camargo","8011"
"Jim,"8036"
"Julimes","8038"
"Ojinaga","8052"
"Saucillo","8062"
"Manuel Benavides","8042"
"Balleza","8007"
"Batopilas","8008"
"Bocoyna","8009"
"Buenaventura","8010"
"Carich,"8012"
"Coronado","8014"
"Coyame del Sotol","8015"
"La Cruz","8016"
"Cusihuiriachi","8018"
"Dr. Belisario Dom,"8022"
"Santa Isabel","8024"
"Gran Morelos","8026"
"Guachochi","8027"
"Guerrero","8031"
"Huejotit,"8033"
"Ignacio Zaragoza","8034"
"L,"8039"
"Matamoros","8044"
"Namiquipa","8048"
"Nonoava","8049"
"Rosario","8056"
"San Francisco de Borja","8057"
"San Francisco de Conchos","8058"
"San Francisco del Oro","8059"
"Santa B,"8060"
"Satev,"8061"
"El Tule","8064"
"Valle de Zaragoza","8067"
"Melchor Ocampo","32027"
"Concepci,"32007"
"El Salvador","32041"
"Calera","32005"
"Ca,"32006"
"Cuauht,"32008"
"Fresnillo","32010"
"Genaro Codina","32012"
"General Enrique Estrada","32013"
"General P,"32016"
"Jerez","32020"
"Loreto","32024"
"Luis Moya","32025"
"Mazapil","32026"
"Monte Escobedo","32031"
"Morelos","32032"
"Noria de ,"32035"
"Ojocaliente","32036"
"P,"32037"
"Pinos","32038"
"R,"32039"
"Sain Alto","32040"
"Sombrerete","32042"
"Susticac,"32043"
"Tepetongo","32046"
"Villa Garc,"32052"
"Villa Gonz,"32053"
"Villa Hidalgo","32054"
"Villanueva","32055"
"Trancoso","32057"
"Apozol","32001"
"Apulco","32002"
"Atolinga","32003"
"Benito Ju,"32004"
"Trinidad Garc,"32011"
"El Plateado de Joaqu,"32015"
"Huanusco","32018"
"Jalpa","32019"
"Juchipila","32023"
"Mezquital del Oro","32028"
"Momax","32030"
"Moyahua de Estrada","32033"
"Nochistl,"32034"
"Tabasco","32044"
"Tepechitl,"32045"
"Te,"32047"
"Tlaltenango de S,"32048"
"Santa Mar,"32058"
"Chalchihuites","32009"
"Jim,"32021"
"Valpara,"32049"
"Villa de Cos","32051"
"General Francisco R. Murgu,"32014"
"Guadalupe","32017"
"Juan Aldama","32022"
"Vetagrande","32050"
"Zacatecas","32056"
"Miguel Auza","32029"
"Tlahualilo","10036"
"La Trinitaria","7099"
"Tuxtla Chico","7102"
"Metapa","7055"
"Maravilla Tenejapa","7115"
"Ocosingo","7059"
"Tapachula","7089"
"Tuxtla Guti,"7101"
"Chiapa de Corzo","7027"
"Berrioz,"7012"
"La Independencia","7041"
"Acapetahua","7003"
"Escuintla","7032"
"La Libertad","7050"
"Tonal,"7097"
"Tecpat,"7092"
"Tapalapa","7090"
"Sunuapa","7088"
"San Fernando","7079"
"Reforma","7074"
"Ostuac,"7062"
"Ocozocoautla de Espinosa","7061"
"Ocotepec","7060"
"Ju,"7048"
"Ixtacomit,"7043"
"Francisco Le,"7033"
"Chapultenango","7025"
"Copainal,"7021"
"Arriaga","7009"
"Ixhuat,"7042"
"Huixtla","7040"
"Huitiup,"7039"
"Huixt,"7038"
"Huehuet,"7037"
"Frontera Hidalgo","7035"
"Frontera Comalapa","7034"
"Chil,"7031"
"Chicomuselo","7030"
"Chicoas,"7029"
"Chiapilla","7028"
"Chenalh,"7026"
"Chanal","7024"
"Chamula","7023"
"Chalchihuit,"7022"
"La Concordia","7020"
"Comit,"7019"
"Coapilla","7018"
"Catazaj,"7016"
"Cacahoat,"7015"
"El Bosque","7014"
"Bochil","7013"
"Bejucal de Ocampo","7010"
"Angel Albino Corzo","7008"
"Amatenango del Valle","7007"
"Amatenango de la Frontera","7006"
"Amat,"7005"
"Altamirano","7004"
"Acala","7002"
"Acacoyagua","7001"
"Santiago el Pinar","7119"
"San Andr,"7118"
"Montecristo de Guerrero","7117"
"Marqu,"7116"
"Benem,"7114"
"Aldama","7113"
"San Juan Cancuc","7112"
"Zinacant,"7111"
"San Lucas","7110"
"Yajal,"7109"
"Villaflores","7108"
"Villa Corzo","7107"
"Venustiano Carranza","7106"
"Uni,"7105"
"Tzimol","7104"
"Tuzant,"7103"
"Tumbal,"7100"
"Totolapa","7098"
"Teopisca","7094"
"Tenejapa","7093"
"Tapilula","7091"
"Suchiate","7087"
"Suchiapa","7086"
"Solosuchiapa","7084"
"Socoltenango","7083"
"Sital,"7082"
"Simojovel","7081"
"Siltepec","7080"
"Salto de Agua","7077"
"Sabanilla","7076"
"Las Rosas","7075"
"Ray,"7073"
"Pueblo Nuevo Solistahuac,"7072"
"Villa Comaltitl,"7071"
"El Porvenir","7070"
"Pijijiapan","7069"
"Pichucalco","7068"
"Pantepec","7067"
"Pantelh,"7066"
"Palenque","7065"
"Oxchuc","7064"
"Osumacinta","7063"
"Nicol,"7058"
"Motozintla","7057"
"Mitontic","7056"
"Mazat,"7054"
"Mazapa de Madero","7053"
"Las Margaritas","7052"
"Mapastepec","7051"
"Larr,"7049"
"Jitotol","7047"
"Ixtapangajoya","7045"
"Ixtapa","7044"
"Tila","7096"
"Soyal,"7085"
"Jiquipilas","7046"
"Cintalapa","7017"
"La Grandeza","7036"
"Bella Vista","7011"
"San Crist,"7078"
"Centro","27004"
"Nacajuca","27013"
"Huimanguillo","27008"
"Emiliano Zapata","27007"
"Jonuta","27011"
"Para,"27014"
"C,"27002"
"Cunduac,"27006"
"Jalpa de M,"27010"
"Comalcalco","27005"
"Tenosique","27017"
"Teapa","27016"
"Jalapa","27009"
"Centla","27003"
"Balanc,"27001"
"Tacotalpa","27015"
"Macuspana","27012"
"Santiago Astata","20453"
"Santa Mar,"20413"
"Villa de Tututepec de Melchor Ocampo","20334"
"San Andr,"20102"
"Santa Mar,"20427"
"El Barrio de la Soledad","20010"
"San Pedro Comitancillo","20305"
"Asunci,"20005"
"Chahuites","20025"
"Reforma de Pineda","20075"
"San Francisco del Mar","20141"
"San Francisco Ixhuat,"20143"
"Heroica Ciudad de Juchit,"20043"
"Uni,"20557"
"Pluma Hidalgo","20071"
"Candelaria Loxicha","20012"
"Santa Mar,"20401"
"San Pedro Mixtepec -Dto. 22 -","20318"
"Mat,"20057"
"San Antonino Castillo Velasco","20103"
"Santa Ana Zegache","20360"
"Santiago Ap,"20452"
"San Agust,"20087"
"San Jos,"20072"
"San Pedro Ap,"20301"
"Ocotl,"20068"
"San Dionisio Ocotl,"20132"
"San Juan Chilateca","20192"
"San Mart,"20243"
"San Pedro M,"20315"
"Santo Tom,"20530"
"Asunci,"20007"
"Teotitl,"20546"
"San Jer,"20550"
"San Francisco Lachigol,"20145"
"Oaxaca de Ju,"20067"
"San Andr,"20091"
"Tlalixtac de Cabrera","20553"
"Santiago Suchilquitongo","20483"
"Reyes Etla","20077"
"Magdalena Apasco","20045"
"San Juan del Estado","20193"
"Villa de Etla","20338"
"San Pablo Huitzo","20294"
"Villa Sola de Vega","20277"
"San Ildefonso Sola","20155"
"Santiago Tenango","20487"
"Santiago Tlazoyaltepec","20494"
"Santo Domingo Nuxa,"20511"
"Santo Tom,"20531"
"San Vicente Lachix,"20535"
"Santa In,"20569"
"Magdalena Mixtepec","20048"
"Nazareno Etla","20063"
"San Andr,"20092"
"San Andr,"20094"
"Magdalena Ocotl,"20049"
"Magdalena Teitipac","20051"
"La Pe","20069"
"Rojas de Cuauht,"20078"
"San Agust,"20083"
"San Agust,"20084"
"San Baltazar Chichic,"20112"
"San Bartolom,"20118"
"San Jacinto Amilpas","20157"
"San Jer,"20162"
","20174"
"San Juan Bautista Guelache","20178"
"San Juan Chicomez,"20191"
"San Juan Guelav,"20197"
"San Juan Teitipac","20219"
"San Lorenzo Cacaotepec","20227"
"San Lucas Quiavin,"20233"
"San Mart,"20238"
"Capul,"20247"
"San Miguel Amatl,"20262"
"San Miguel del R,"20267"
"San Miguel Tilqui,"20284"
"San Pablo Etla","20293"
"San Pablo Huixtepec","20295"
"San Pedro Ixtlahuaca","20310"
"San Pedro Taviche","20328"
"San Raymundo Jalpan","20342"
"San Sebasti,"20343"
"San Sebasti,"20349"
"San Antonio de la Cal","20107"
"Santa Ana del Valle","20356"
"Santa Ana Tlapacoyan","20358"
"Santa Catarina Ixtepeji","20363"
"Santa Catarina Lachatao","20365"
"Santa Catarina Minas","20368"
"Santa Catarina Quian,"20369"
"Santa Cruz Amilpas","20375"
"Santa Cruz Mixtepec","20378"
"Santa Cruz Papalutla","20380"
"Santa Cruz Xoxocotl,"20385"
"Santa Gertrudis","20387"
"Santa In,"20388"
"Santa In,"20389"
"Santa Luc,"20393"
"Santa Mar,"20399"
"Santa Mar,"20403"
"Santa Mar,"20411"
"Santa Mar,"20419"
"Santa Mar,"20443"
"Santa Mar,"20449"
"Santiago Matatl,"20475"
"Santiago Xiacu,"20496"
"Nuevo Zoqui,"20504"
"Santo Domingo Tomaltepec","20519"
"Soledad Etla","20539"
"Teococuilco de Marcos P,"20544"
"Trinidad Zaachila","20555"
"Villa D,"20560"
"Yaxe","20561"
"Villa de Zaachila","20565"
"Santa Mar,"20420"
"Santa Mar,"20426"
"San Antonino el Alto","20104"
"San Antonio Huitepec","20108"
"San Juan Tamazola","20217"
"San Mart,"20241"
"San Miguel Mixtepec","20271"
"San Miguel Peras","20273"
"Ci,"20013"
"La Compa,"20017"
"Cuil,"20023"
"Guadalupe Etla","20033"
"Guelatao de Ju,"20035"
"San Bernardo Mixtepec","20123"
"San Felipe Tejal,"20135"
"San Francisco Telixtlahuaca","20150"
"San Jer,"20161"
"Ayoquezco de Aldama","20398"
"Heroica Ciudad de Ejutla de Crespo","20028"
"Santa Mar,"20409"
"Miahuatl,"20059"
"San Ildefonso Amatl,"20154"
"San Jos,"20167"
"San Juan Mixtepec -Dto. 26 -","20209"
"San Mateo R,"20254"
"San Pedro Mixtepec -Dto. 26 -","20319"
"San Sebasti,"20347"
"San Pedro Juchatengo","20314"
"San Francisco Sola","20149"
"San Andr,"20096"
"San Juan Sayultepec","20215"
"Magdalena Yodocono de Porfirio D,"20562"
"San Francisco Nuxa,"20147"
"San Lorenzo Victoria","20230"
"San Jorge Nuchita","20164"
"Tepelmeme Villa de Morelos","20548"
"Concepci,"20018"
"Cosolapa","20021"
"San Pedro Tapanatepec","20327"
"San Juan Ozolotepec","20211"
"Santiago Llano Grande","20474"
"Santiago Miltepec","20476"
"Santiago Minas","20477"
"Santiago Nacaltepec","20478"
"Santiago Nejapilla","20479"
"Santiago Nundiche","20480"
"Santiago Nuyo,"20481"
"Santiago Pinotepa Nacional","20482"
"Santiago Tamazola","20484"
"Santiago Tapextla","20485"
"Villa Tej,"20486"
"Santiago Tepetlapa","20488"
"Santiago Tetepec","20489"
"Santiago Texcalcingo","20490"
"Santiago Textitl,"20491"
"Santiago Tilantongo","20492"
"Santiago Tillo","20493"
"Santiago Yaitepec","20497"
"Santiago Yolom,"20499"
"Santiago Yosond,"20500"
"Santiago Yucuyachi","20501"
"Santo Domingo Armenta","20507"
"Santo Domingo Ixcatl,"20510"
